NDOC;HRP5;HRP5_1B;ASSALARIADO
611;258.26;258.26;S
612;2563.60;2563.60;N
613;2283.45;2283.45;N
614;18673.02;18673.02;S
615;2794.62;3516.75;N
616;1453.47;1674.60;N
617;4008.72;4593.67;S
618;783.87;1122.20;N
619;4793.94;3468.15;N
620;1229.49;1191.24;S
621;4393.42;4393.42;N
622;1232.51;1637.27;S
623;2789.42;3073.33;S
624;1362.27;1362.27;N
625;1854.98;1641.06;N
626;1783.79;1466.61;N
627;1705.49;1886.14;S
628;2161.80;2154.19;S
629;2160.74;2403.58;N
630;1064.08;1147.14;N
631;2521.01;699.21;N
632;1201.71;2515.81;N
633;36.06;42.96;S
634;1395.14;651.14;N
635;1829.76;1906.24;S
636;929.71;1095.24;N
637;1947.02;2682.88;S
638;2966.06;2981.79;S
639;1586.83;1586.83;S
640;633.66;518.21;S
641;1009.72;1079.36;N
642;931.40;891.42;N
643;2909.93;3604.45;N
644;249.70;360.47;S
645;2613.83;2323.74;N
646;1985.36;2244.83;N
647;1222.09;1936.62;N
648;1393.72;2305.71;S
649;2011.82;1805.69;S
650;1237.14;1050.46;S
651;2372.31;2636.10;S
652;99.87;321.51;S
653;5747.74;6960.04;S
654;1720.56;1725.46;N
655;2060.04;1749.13;S
656;1560.35;1722.44;S
657;11989.58;10330.67;N
658;2487.49;2898.56;S
659;167.58;368.15;N
660;162.00;293.85;N
661;1444.90;1241.33;N
662;23.10;0.00;S
663;103.01;103.01;S
664;1026.36;934.90;N
665;2885.47;3286.77;S
666;3057.14;3477.28;S
667;1272.41;1767.75;N
668;2635.85;2134.34;S
669;1804.71;1897.38;S
670;4695.89;4969.33;S
671;1009.13;1411.74;N
672;1163.27;1223.81;S
673;764.54;615.51;S
674;3825.81;4291.07;N
675;1622.75;1622.75;N
676;534.97;534.97;S
677;1715.20;1985.07;S
678;1799.46;1464.89;S
679;5280.19;6881.10;N
680;4656.50;4656.50;N
681;771.23;699.05;N
682;1982.12;1570.49;N
683;937.42;1195.57;N
684;3435.58;3435.58;N
685;1167.36;783.48;N
686;2371.40;2371.40;S
687;618.64;818.77;S
688;2791.47;2791.47;N
689;17885.62;20297.25;S
690;1134.73;768.20;N
691;186.63;18.41;N
692;2068.88;2068.88;N
693;1367.11;1367.11;S
694;1185.53;1185.53;N
695;3477.57;2491.96;N
696;1551.47;1756.50;S
697;835.19;835.19;S
698;485.37;485.37;N
699;4315.84;4334.57;S
700;930.21;349.08;N
701;558.02;504.80;N
702;1040.65;1040.65;N
703;9802.93;9802.93;S
704;1189.46;1449.79;N
705;1105.51;1025.35;N
706;180.40;260.26;N
707;1315.15;1489.19;S
708;2608.41;3328.84;S
709;14475.00;13966.03;S
710;13018.42;4379.44;S
711;2556.32;2878.58;S
712;1582.16;1674.11;S
713;2723.58;3711.19;N
714;7976.16;8127.51;S
715;3695.86;3034.58;S
716;2602.30;2602.30;S
717;1304.78;1304.78;N
718;502.40;783.18;S
719;2504.73;2787.48;S
720;2049.31;2708.25;S
721;559.30;457.71;S
722;71.64;455.23;N
723;1348.31;1222.30;N
724;2990.16;3143.94;N
725;1757.73;2022.44;S
726;4640.27;4640.27;N
727;450.06;450.06;N
728;1203.80;1515.97;S
729;2018.39;2072.81;S
730;4235.93;4235.93;S
731;388.65;247.93;N
732;4298.82;3463.90;S
733;4063.12;4063.12;S
734;1926.35;1926.35;S
735;1333.57;1716.41;S
736;978.24;855.21;N
737;3058.93;3011.15;N
738;382.21;70.34;N
739;970.54;1163.47;S
740;1800.11;2052.00;S
741;98062.15;98062.15;S
742;6587.48;7364.66;N
743;2765.44;2083.58;N
744;9666.25;9630.10;N
745;2266.86;2425.01;N
746;2476.60;1925.19;S
747;1137.51;1137.51;N
748;3030.03;2676.09;S
749;927.10;953.20;N
750;404.87;404.87;S
751;1312.90;993.46;N
752;4041.30;4074.40;N
753;1735.17;1398.04;S
754;3922.69;4013.59;S
755;3903.40;5366.99;S
756;413.56;717.87;N
757;1250.08;1488.64;S
758;449.40;377.24;S
759;6893.39;7319.93;S
760;868.82;868.82;N
761;1309.52;856.13;N
762;622.56;560.44;S
763;6189.39;5584.35;S
764;547.34;653.28;N
765;4333.99;1178.25;S
766;2691.51;2633.32;N
767;5465.63;5395.37;S
768;2292.83;2292.83;S
769;1527.05;1026.61;N
770;2987.19;1710.14;N
771;2316.49;2885.47;S
772;1631.86;2182.18;S
773;23.99;295.89;N
774;1333.79;1245.02;N
775;3615.55;3892.29;S
776;2615.99;2615.99;S
777;1337.94;1637.26;S
778;2892.06;2960.22;S
779;3598.69;3218.69;N
780;4776.06;16265.11;N
781;2389.57;2879.70;N
782;413.87;671.98;S
783;1112.23;842.51;S
784;1500.05;1500.05;S
785;2523.63;3744.25;N
786;2132.72;1190.84;N
787;8435.26;1658.98;S
788;2312.14;2497.90;S
789;1117.65;1117.65;S
790;622.94;879.72;S
791;2283.27;3095.95;S
792;470.74;571.63;S
793;2592.76;2335.17;S
794;2670.87;3889.15;N
795;4839.38;4038.30;S
796;223.79;0.00;S
797;2788.78;2548.80;N
798;1170.80;1113.59;S
799;3651.74;3696.74;N
800;2547.95;2561.57;S
801;3870.71;3648.30;S
802;7870.94;7056.45;S
803;955.88;955.88;N
804;4542.69;3716.05;S
805;9516.28;10934.34;N
806;1577.93;1577.93;S
807;1570.28;1610.86;N
808;1089.29;1089.29;N
809;1127.56;999.15;N
810;3718.49;4077.57;N
811;1382.79;1058.75;S
812;1924.48;3326.01;S
813;15.71;31.83;S
814;2415.86;2488.26;S
815;1552.05;1667.33;S
816;3473.50;3219.19;S
817;2704.88;2704.88;N
818;2142.09;3354.57;S
819;889.92;889.92;S
820;2960.41;2960.41;S
821;3625.00;3625.00;N
822;3937.74;3183.55;S
823;3578.42;3578.42;N
824;2726.97;3615.73;N
825;18088.96;19307.07;S
826;1132.54;1119.57;N
827;2151.14;2284.87;S
828;4724.03;5569.28;S
829;1993.59;2397.13;S
830;2345.08;2440.65;S
831;1746.15;1545.34;S
832;870.28;870.28;S
833;1678.49;1532.45;N
834;7158.93;8096.39;N
835;2391.15;2252.82;S
836;1690.28;1690.28;S
837;2831.69;2831.69;S
838;445.94;938.51;S
839;4900.98;4511.77;N
840;2899.90;4131.75;S
841;1936.18;2263.88;S
842;3646.81;3646.81;N
843;3765.60;5823.46;S
844;1928.59;2468.14;S
