NDOC;HRP5;HRP5_1B;ASSALARIADO
1;275.03;0.00;N
2;1029.80;1067.65;S
3;1220.44;1190.02;N
4;1155.48;1128.70;N
5;2807.13;423.25;N
6;4237.04;289.39;S
7;101.00;0.00;S
8;1936.65;1848.68;S
9;1989.52;1532.69;S
10;32.10;167.55;N
11;1655.44;1981.89;N
12;2262.74;2652.22;S
13;1090.91;1090.91;N
14;2792.08;3545.67;S
15;18607.80;18607.80;S
16;2536.97;2176.68;N
17;9379.26;9069.95;S
18;1638.95;2361.99;N
19;1000.57;1722.15;N
20;1057.93;1135.99;N
21;4531.67;4531.67;S
22;1265.06;1291.20;S
23;311.72;72.77;N
24;338.09;510.45;S
25;905.42;1131.57;N
26;935.51;779.50;S
27;431.05;409.31;S
28;402.62;338.02;N
29;1278.55;1501.12;S
30;999.28;1393.88;S
31;1213.75;1580.10;S
32;3910.02;6276.37;S
33;296.71;73.68;N
34;2502.85;3758.28;S
35;2675.21;3915.31;S
36;2419.22;1539.20;S
37;395.79;521.72;N
38;1998.45;2443.00;S
39;9396.35;12450.22;N
40;16539.76;16539.76;N
41;1663.39;1868.40;N
42;1604.83;2122.67;S
43;9230.52;9230.52;S
44;1003.55;873.84;S
45;1009.67;1009.67;S
46;7727.95;6377.14;N
47;8980.61;10511.28;S
48;4768.27;4708.91;S
49;18107.72;26561.82;N
50;4728.13;4720.47;N
51;3444.87;2563.47;N
52;193.13;0.00;S
53;1981.15;2177.70;N
54;12654.66;12654.66;S
55;2313.68;2074.90;S
56;2001.69;1527.78;S
57;1069.97;1066.06;N
58;1309.28;1110.53;N
59;8386.59;7989.72;S
60;1429.89;1197.26;S
61;1901.18;2196.62;S
62;1818.42;1474.39;N
63;475.14;683.94;S
64;2494.38;2650.05;S
65;425.15;425.15;N
66;1050.22;1050.74;N
67;15954.52;20578.50;N
68;4095.74;4163.31;S
69;2765.81;2593.56;S
70;1319.71;1647.27;S
71;407.60;396.33;N
72;2695.52;1753.48;N
73;7095.11;4101.95;N
74;1029.02;846.42;S
75;622.26;622.26;S
76;2027.10;2624.10;S
77;326.85;511.71;S
78;19.38;24.06;S
79;2754.23;2790.15;N
80;2563.97;2198.92;S
81;2114.53;1677.35;N
82;1715.01;1715.01;N
83;2101.90;2344.30;N
84;3694.41;2888.64;N
85;3211.08;1672.41;N
86;2965.47;3207.80;S
87;2268.40;2459.89;S
88;1610.33;2365.54;S
89;3680.68;5428.06;S
90;1758.16;1165.74;N
91;691.79;513.21;S
92;2330.79;2626.30;S
93;535.86;733.66;S
94;15246.37;17444.28;N
95;534.14;656.51;S
96;3981.76;3478.16;S
97;941.06;909.42;S
98;149.20;701.46;N
99;2790.74;1797.00;N
100;13053.80;7621.13;N
101;660.43;660.43;S
102;2.68;0.00;S
103;2454.03;3393.95;N
104;7125.69;3829.96;N
105;307.61;221.25;S
106;2942.68;1322.32;N
107;961.91;437.10;S
108;1040.23;627.58;N
109;2634.78;3314.38;S
110;3659.61;3425.32;N
111;1314.52;1618.35;S
112;2542.59;2943.18;N
113;3407.12;4230.82;N
114;16088.72;19582.76;S
115;19129.30;25726.28;S
116;1273.42;1512.81;N
117;7541.20;8740.04;S
118;7538.69;8072.52;S
119;1148.60;1089.42;N
120;1188.65;1079.70;S
121;2705.23;2572.96;S
122;1037.02;269.61;N
123;1456.93;1406.90;S
124;13385.61;11369.42;S
125;1316.66;631.16;N
126;79741.31;105935.25;N
127;2903.42;2903.42;S
128;1374.84;1374.84;N
129;2792.52;2792.52;S
130;4239.42;4882.77;S
131;1009.40;1137.51;S
132;1587.57;1591.30;S
133;1483.21;1173.53;S
134;16582.30;13628.67;S
135;2496.73;2863.97;S
136;2620.89;2416.26;S
137;8231.70;5133.94;N
138;1747.48;1747.48;S
139;1971.49;2506.54;S
140;1806.49;1712.50;N
141;18601.41;28710.46;S
142;3027.84;2571.81;S
143;4880.58;4880.58;S
144;884.23;980.15;S
145;6510.95;9768.75;N
146;887.26;887.26;S
147;2743.14;2412.48;S
148;489.35;534.70;S
149;9277.25;9277.25;S
150;1977.84;1706.99;N
151;1662.77;1520.76;N
152;564.58;564.58;S
153;215.95;293.81;N
154;3289.38;3289.38;S
155;661.06;661.06;S
156;3475.86;3906.31;S
157;2476.25;2452.90;S
158;783.23;480.10;N
159;1401.62;988.31;S
160;2065.68;1729.55;S
161;1453.72;2157.11;N
162;4441.68;3480.35;N
163;1095.09;918.86;S
164;831.77;831.77;N
165;2811.77;2347.56;S
166;1665.34;1886.68;S
167;1577.92;1241.06;N
168;1762.61;1725.10;N
169;2642.70;2642.70;N
170;3534.90;3534.90;N
171;1339.82;1339.82;N
172;2400.78;2400.78;N
173;746.11;640.34;N
174;4135.19;4135.19;N
175;617.84;936.31;S
176;1754.94;1754.94;S
177;1678.49;1714.04;S
178;301.42;469.32;S
179;2175.69;1991.70;S
180;861.76;861.76;N
181;9310.55;7555.65;S
182;324.77;14.03;S
183;3486.63;3112.61;S
184;1168.13;1607.84;S
185;2818.95;3181.20;S
186;4311.02;4311.02;N
187;1754.45;728.38;N
188;2864.25;3056.47;N
189;1056.17;1267.14;S
190;864.25;458.32;N
191;4791.75;5364.73;S
192;61.87;61.87;S
193;1714.32;1994.89;N
194;1158.75;1408.25;S
195;4294.61;4294.61;S
196;2284.15;1608.86;S
197;2141.43;2834.94;S
198;6547.91;7276.59;S
199;2685.41;1951.19;N
200;214.19;216.15;S
201;3202.28;1766.31;S
202;1162.25;944.79;S
203;1676.36;1634.64;S
204;1309.47;1048.61;S
205;14616.80;10533.01;N
206;3276.80;1631.36;N
207;4702.33;4975.04;S
208;1946.41;502.01;S
209;13749.13;13749.13;S
210;4299.92;5027.46;N
211;705.54;780.06;N
212;1727.23;2125.84;N
213;1793.90;2753.50;S
214;1241.94;1241.94;S
215;2240.56;2259.71;S
216;1507.33;1307.01;S
217;12536.50;12536.50;N
218;1732.94;1489.36;N
219;1813.51;1813.51;S
220;1695.39;1663.80;N
221;1043.81;1043.81;S
222;7576.92;7137.67;S
223;1780.84;1931.70;S
224;2894.64;3801.29;N
225;1801.15;2539.91;N
226;1080.07;1329.45;S
227;1042.36;922.33;N
228;5375.21;3646.47;N
229;607.57;677.99;N
230;1567.24;956.09;S
231;2529.46;2017.19;N
232;1386.99;1490.24;N
233;1916.48;2958.45;N
234;1087.79;1082.94;N
235;1891.33;1412.51;S
236;1121.36;2368.91;N
237;2611.95;2611.95;N
238;77509.57;86461.22;S
239;2449.97;1897.41;N
240;966.26;993.89;N
241;322.66;661.81;S
242;1635.06;2016.89;N
243;941.61;941.61;S
244;2605.14;641.45;N
245;2766.96;2432.76;S
246;7414.72;7408.24;S
247;1484.25;1314.15;S
248;4950.75;4950.75;N
249;2319.12;2620.19;S
250;1615.38;1769.94;S
251;1763.12;1511.05;S
252;7527.22;8586.18;S
253;8271.30;6035.01;S
254;2763.86;1986.44;N
255;504.26;1084.70;S
256;13939.04;12304.59;S
257;1500.08;1500.08;S
258;1473.74;1191.79;S
259;990.62;1061.39;N
260;2299.79;2284.62;S
261;4450.65;5740.69;S
262;4155.27;3351.22;N
263;3295.55;5684.08;N
264;1151.43;1125.25;S
265;2062.28;2062.28;N
266;1662.23;1836.83;S
267;1771.99;1368.13;S
268;558.09;657.48;S
269;2317.04;3037.67;S
270;2379.69;2561.60;S
271;1714.14;1683.68;S
272;1933.02;2610.76;S
273;2531.04;3245.55;S
274;3010.36;3662.92;S
275;1199.46;1211.12;N
